id,title,url,rank
45848484,Vodafone Germany is killing the open internet – one peering connection at a time,https://coffee.link/vodafone-germany-is-killing-the-open-internet-one-peering-connection-at-a-time/,1
45849281,Rockstar employee shares account of the company's union-busting efforts,https://gtaforums.com/topic/1004182-rockstar-games-alleged-union-busting/,2
45849342,Myna: Monospace typeface designed for symbol-heavy programming languages,https://github.com/sayyadirfanali/Myna,3
45849528,Ruby Solved My Problem,https://newsletter.masilotti.com/p/ruby-already-solved-my-problem,4
45848504,Gmail AI gets more intrusive,https://daveverse.org/2025/11/07/gmail-ai-gets-even-more-intrusive/,5
45809007,Venn Diagram for 7 Sets,https://moebio.com/research/sevensets/,6
45846517,I Love OCaml,https://mccd.space/posts/ocaml-the-worlds-best/,7
45850430,Apple is crossing a Steve Jobs red line,https://kensegall.com/2025/11/07/apple-is-crossing-a-steve-jobs-red-line/,8
45850382,How did I get here?,https://how-did-i-get-here.net/,9
45850069,"James Watson, Co-Discoverer of the Structure of DNA, Is Dead at 97",https://www.nytimes.com/2025/11/07/science/james-watson-dead.html,10
45843948,Leaving Meta and PyTorch,https://soumith.ch/blog/2025-11-06-leaving-meta-and-pytorch.md.html,11
45848468,"Angel Investors, a Field Guide",https://www.jeanyang.com/posts/angel-investors-a-field-guide/,12
45848083,Denmark's government aims to ban access to social media for children under 15,https://apnews.com/article/denmark-social-media-ban-children-7862d2a8cc590b4969c8931a01adc7f4,13
45843146,A Fond Farewell,https://www.farmersalmanac.com/fond-farewell-from-farmers-almanac,14
45793783,Skeena Indigenous Typeface,https://microsoft.github.io/Skeena-Indigenous-Typeface/,15
45809649,My Experience of building Bytebeat player in Zig,https://blog.karanjanthe.me/posts/zig-beat/,16
45788194,PyTorch Helion,https://pytorch.org/blog/helion/,17
45848341,Toxic Salton Sea dust triggers changes in lung microbiome after just one week,https://phys.org/news/2025-10-toxic-salton-sea-triggers-lung.html,18
45789143,Comparison Traits – Understanding Equality and Ordering in Rust,https://itsfoxstudio.substack.com/p/comparison-traits-understanding-equality,19
45798123,Understanding traffic,https://dr2chase.wordpress.com/,20
45846090,OpenMW 0.50.0 Released – open-source Morrowind reimplementation,https://openmw.org/2025/openmw-0-50-0-released/,21
45845568,Sweep (YC S23) is hiring to build autocomplete for JetBrains,https://www.ycombinator.com/companies/sweep/jobs/8dUn406-founding-engineer-intern,22
45778653,1973 implementation of Wordle was published by DEC (2022),https://troypress.com/1973-implementation-of-wordle-was-published-by-dec/,23
45845772,Meta projected 10% of 2024 revenue came from scams,https://sherwood.news/tech/meta-projected-10-of-2024-revenue-came-from-scams-and-banned-goods-reuters/,24
45789218,Revisiting Interface Segregation in Go,https://rednafi.com/go/interface-segregation/,25
45845800,From Memorization to Reasoning in the Spectrum of Loss Curvature,https://arxiv.org/abs/2510.24256,26
45786490,Text case changes the size of QR codes,https://www.johndcook.com/blog/2025/10/31/smaller-qr-codes/,27
45845958,We chose OCaml to write Stategraph,https://stategraph.dev/blog/why-we-chose-ocaml,28
45847465,A.I. and Social Media Contribute to 'Brain Rot',https://www.nytimes.com/2025/11/06/technology/personaltech/ai-social-media-brain-rot.html,29
45841262,Game design is simple,https://www.raphkoster.com/2025/11/03/game-design-is-simple-actually/,30
